"variable","number_NAs"
"ID",0
"AGE",8
"SEX",0
"INF_ANAM",4
"STENOK_AN",106
"FK_STENOK",73
"IBS_POST",51
"IBS_NASL",1628
"GB",9
"SIM_GIPERT",8
"DLIT_AG",248
"ZSN_A",54
"nr_11",21
"nr_01",21
"nr_02",21
"nr_03",21
"nr_04",21
"nr_07",21
"nr_08",21
"np_01",18
"np_04",18
"np_05",18
"np_07",18
"np_08",18
"np_09",18
"np_10",18
"endocr_01",11
"endocr_02",10
"endocr_03",10
"zab_leg_01",7
"zab_leg_02",7
"zab_leg_03",7
"zab_leg_04",7
"zab_leg_06",7
"S_AD_KBRIG",1076
"D_AD_KBRIG",1076
"S_AD_ORIT",267
"D_AD_ORIT",267
"O_L_POST",12
"K_SH_POST",15
"MP_TP_POST",14
"SVT_POST",12
"GT_POST",12
"FIB_G_POST",12
"ant_im",83
"lat_im",80
"inf_im",80
"post_im",72
"IM_PG_P",1
"ritm_ecg_p_01",152
"ritm_ecg_p_02",152
"ritm_ecg_p_04",152
"ritm_ecg_p_06",152
"ritm_ecg_p_07",152
"ritm_ecg_p_08",152
"n_r_ecg_p_01",115
"n_r_ecg_p_02",115
"n_r_ecg_p_03",115
"n_r_ecg_p_04",115
"n_r_ecg_p_05",115
"n_r_ecg_p_06",115
"n_r_ecg_p_08",115
"n_r_ecg_p_09",115
"n_r_ecg_p_10",115
"n_p_ecg_p_01",115
"n_p_ecg_p_03",115
"n_p_ecg_p_04",115
"n_p_ecg_p_05",115
"n_p_ecg_p_06",115
"n_p_ecg_p_07",115
"n_p_ecg_p_08",115
"n_p_ecg_p_09",115
"n_p_ecg_p_10",115
"n_p_ecg_p_11",115
"n_p_ecg_p_12",115
"fibr_ter_01",10
"fibr_ter_02",10
"fibr_ter_03",10
"fibr_ter_05",10
"fibr_ter_06",10
"fibr_ter_07",10
"fibr_ter_08",10
"GIPO_K",369
"K_BLOOD",371
"GIPER_NA",375
"NA_BLOOD",375
"ALT_BLOOD",284
"AST_BLOOD",285
"KFK_BLOOD",1696
"L_BLOOD",125
"ROE",203
"TIME_B_S",126
"R_AB_1_n",16
"R_AB_2_n",108
"R_AB_3_n",128
"NA_KB",657
"NOT_NA_KB",686
"LID_KB",677
"NITR_S",9
"NA_R_1_n",5
"NA_R_2_n",108
"NA_R_3_n",131
"NOT_NA_1_n",10
"NOT_NA_2_n",110
"NOT_NA_3_n",131
"LID_S_n",10
"B_BLOK_S_n",11
"ANT_CA_S_n",13
"GEPAR_S_n",17
"ASP_S_n",17
"TIKL_S_n",16
"TRENT_S_n",16
"FIBR_PREDS",0
"PREDS_TAH",0
"JELUD_TAH",0
"FIBR_JELUD",0
"A_V_BLOK",0
"OTEK_LANC",0
"RAZRIV",0
"DRESSLER",0
"ZSN",0
"REC_IM",0
"P_IM_STEN",0
"LET_IS",0
